transaction_id,account_id,amount,transaction_type,method,timestamp,counterparty_account,counterparty_country,status
TXN_50183,ACC_1010,717.0,DEPOSIT,ACH,2026-08-01 02:00:00,,US,COMPLETED
TXN_50326,ACC_1020,1222.71,DEPOSIT,ACH,2026-08-01 02:00:00,,US,COMPLETED
TXN_50393,ACC_1024,3317.23,WITHDRAWAL,CHECK,2026-08-01 04:00:00,,US,COMPLETED
TXN_50614,ACC_1036,1297.41,WITHDRAWAL,CHECK,2026-08-01 04:00:00,,US,COMPLETED
TXN_50803,ACC_1048,2772.02,TRANSFER_OUT,WIRE,2026-08-01 05:00:00,ACC_1012,CH,COMPLETED
TXN_50824,ACC_1049,725.58,DEPOSIT,WIRE,2026-08-01 05:00:00,,US,COMPLETED
TXN_50842,ACC_1050,2980.75,TRANSFER_IN,WIRE,2026-08-01 05:00:00,ACC_1040,CH,COMPLETED
TXN_50705,ACC_1041,4376.05,WITHDRAWAL,CASH,2026-08-01 06:00:00,,US,COMPLETED
TXN_50195,ACC_1011,797.28,DEPOSIT,WIRE,2026-08-01 07:00:00,,US,COMPLETED
TXN_50521,ACC_1031,691.68,DEPOSIT,CASH,2026-08-01 07:00:00,,US,COMPLETED
TXN_50631,ACC_1037,693.08,DEPOSIT,WIRE,2026-08-01 07:00:00,,US,COMPLETED
TXN_50667,ACC_1039,4026.54,WITHDRAWAL,CASH,2026-08-01 07:00:00,,US,COMPLETED
TXN_50159,ACC_1009,3852.42,TRANSFER_IN,CHECK,2026-08-01 08:00:00,ACC_1004,DE,COMPLETED
TXN_50282,ACC_1017,4237.86,TRANSFER_IN,WIRE,2026-08-01 08:00:00,ACC_1045,KY,COMPLETED
TXN_50316,ACC_1019,943.25,DEPOSIT,CASH,2026-08-01 08:00:00,,US,COMPLETED
TXN_50715,ACC_1043,22185.18,TRANSFER_OUT,WIRE,2026-08-01 08:00:00,ACC_1024,US,COMPLETED
TXN_50268,ACC_1016,3279.24,TRANSFER_IN,ACH,2026-08-01 09:00:00,ACC_1026,US,COMPLETED
TXN_50148,ACC_1008,16743.2,WITHDRAWAL,ACH,2026-08-01 10:00:00,,US,COMPLETED
TXN_50649,ACC_1038,2607.88,TRANSFER_OUT,WIRE,2026-08-01 10:00:00,ACC_1043,US,COMPLETED
